,day_of_week,is_periphery,latitude,time_to_validate_sec,month,longitude,is_night,dist_from_center_km,hour,quarter,center_code,is_weekend
day_of_week,1.0,-0.010301966939484545,-0.00010949830944442256,-0.008036176288591459,0.05367430393896472,-0.028462393643835175,-0.01828651015129369,-0.0338099605423774,-0.08132915098965295,0.03988914513804843,-0.005299166041360595,0.8014214574664265
is_periphery,-0.010301966939484545,1.0,0.2211950144896828,0.013685124403076942,-0.02432473599487826,0.449068944104014,-0.0700905496840713,0.7010359534427592,0.06568029830935164,-0.024389218552571357,0.26140534315659986,-0.006029925688004456
latitude,-0.00010949830944442256,0.2211950144896828,1.0,-0.015338105144691859,0.003975272112048638,-0.07162041053426646,-0.016888953605286604,0.3443534546643385,0.02492284601357802,0.0038802463437910984,-0.021782996535848486,0.006448410683463896
time_to_validate_sec,-0.008036176288591459,0.013685124403076942,-0.015338105144691859,1.0,-0.21381349618937967,0.018304596982597638,0.027227745146203425,0.023226477277981952,0.036510935008197014,-0.2626445668416654,0.01728754581751018,-0.0006417726268149498
month,0.05367430393896472,-0.02432473599487826,0.003975272112048638,-0.21381349618937967,1.0,-0.06877771901077302,0.02852024766157274,-0.05534207235619878,-0.020166132696117788,0.9869799879168509,-0.013050555656862868,0.04658929948037561
longitude,-0.028462393643835175,0.449068944104014,-0.07162041053426646,0.018304596982597638,-0.06877771901077302,1.0,-0.021514689270079216,0.530921557449544,0.050435398196269764,-0.07053438054013914,0.1641608068491076,-0.03977872406445497
is_night,-0.01828651015129369,-0.0700905496840713,-0.016888953605286604,0.027227745146203425,0.02852024766157274,-0.021514689270079216,1.0,-0.06999324492878393,-0.1209714296121134,0.030604852538860375,-0.06865435792351296,-0.03400349937448898
dist_from_center_km,-0.0338099605423774,0.7010359534427592,0.3443534546643385,0.023226477277981952,-0.05534207235619878,0.530921557449544,-0.06999324492878393,1.0,0.0890259893464252,-0.0592193003624578,0.40795467689032994,-0.04436500173836324
hour,-0.08132915098965295,0.06568029830935164,0.02492284601357802,0.036510935008197014,-0.020166132696117788,0.050435398196269764,-0.1209714296121134,0.0890259893464252,1.0,-0.022881041004971805,0.036114024204084286,-0.0780046816060152
quarter,0.03988914513804843,-0.024389218552571357,0.0038802463437910984,-0.2626445668416654,0.9869799879168509,-0.07053438054013914,0.030604852538860375,-0.0592193003624578,-0.022881041004971805,1.0,-0.016849227950523887,0.037687238770952924
center_code,-0.005299166041360595,0.26140534315659986,-0.021782996535848486,0.01728754581751018,-0.013050555656862868,0.1641608068491076,-0.06865435792351296,0.40795467689032994,0.036114024204084286,-0.016849227950523887,1.0,-0.010211020145255
is_weekend,0.8014214574664265,-0.006029925688004456,0.006448410683463896,-0.0006417726268149498,0.04658929948037561,-0.03977872406445497,-0.03400349937448898,-0.04436500173836324,-0.0780046816060152,0.037687238770952924,-0.010211020145255,1.0
